title,year,conference
 Execution-guided neural program synthesis,2019, In ICLR
 Novelty search: A theoretical Per-spective,2019, In Proceedings of the Genetic and Evolutionary Computation Conference
 BEAGLE a Darwinian aPProach to Pattern recognition,0368, Kybernetes
 Code building genetic Programming,2020, In Proceedings of the2020 Genetic and Evolutionary Computation Conference
 AP: Artificial Programming,2017, Snapl ’17
 From program verification to pro-gram synthesis,0362, SIGPLAN Not
 A survey of genetic programmingand its applications,2019, KSII Transactions on Internet and Information Systems
 General program synthesis using guided corpus generation andautomatic refactoring,2019, In Shiva Nejati and Gregory Gay (eds
 Automatic program synthesis of long programs with a learned garbagecollector,2018, In S
