title,similarity_mean,similarity_std
-70L8lpp9DF,tensor(10.1545),tensor(1.8123)
0EXmFzUn5I,tensor(10.7407),tensor(1.8237)
0xiJLKH-ufZ,tensor(9.8761),tensor(1.7527)
1L0C5ROtFp,tensor(10.2506),tensor(1.6621)
3wU2UX0voE,tensor(10.1627),tensor(1.8894)
5hLP5JY9S2d,tensor(10.3369),tensor(1.8945)
7UmjRGzp-A,tensor(10.2505),tensor(2.6046)
8c50f-DoWAu,tensor(10.3773),tensor(1.7315)
9Hrka5PA7LW,tensor(9.3686),tensor(1.6692)
ajXWF7bVR8d,tensor(10.0863),tensor(1.8845)
avgclFZ221l,tensor(10.0692),tensor(1.8732)
b-ny3x071E5,tensor(9.5746),tensor(1.6731)
bVuP3ltATMz,tensor(9.9527),tensor(1.9376)
Dl4LetuLdyK,tensor(10.2149),tensor(1.6544)
EhYjZy6e1gJ,tensor(9.9443),tensor(2.0554)
EskfH0bwNVn,tensor(10.9663),tensor(2.2723)
FPCMqjI0jXN,tensor(10.1999),tensor(1.7433)
gEZrGCozdqR,tensor(9.8888),tensor(1.8189)
iC4UHbQ01Mp,tensor(9.3714),tensor(1.7579)
iRCUlgmdfHJ,tensor(10.6231),tensor(1.7940)
KB5onONJIAU,tensor(10.8358),tensor(2.0096)
l4IHywGq6a,tensor(10.0881),tensor(1.4344)
LdlwbBP2mlq,tensor(9.8803),tensor(1.9759)
ltM1RMZntpu,tensor(9.5093),tensor(1.3954)
M752z9FKJP,tensor(10.8252),tensor(1.6615)
N0n_QyQ5lBF,tensor(10.2614),tensor(1.8338)
NMEceG4v69Y,tensor(10.8224),tensor(1.8722)
NudBMY-tzDr,tensor(9.9892),tensor(1.3494)
oapKSVM2bcj,tensor(9.6405),tensor(1.8164)
p-BhZSz59o4,tensor(10.4169),tensor(1.6715)
pMQwKL1yctf,tensor(9.4723),tensor(1.5591)
PzcvxEMzvQC,tensor(10.3408),tensor(1.4659)
Qg2vi4ZbHM9,tensor(9.9779),tensor(1.6911)
qj1IZ-6TInc,tensor(10.0846),tensor(1.7722)
qnQN4yr6FJz,tensor(9.9290),tensor(2.1011)
RJkAHKp7kNZ,tensor(10.0486),tensor(1.7110)
RQLLzMCefQu,tensor(9.6723),tensor(1.3014)
s03AQxehtd_,tensor(10.6341),tensor(1.9207)
tYRrOdSnVUy,tensor(9.8839),tensor(1.6404)
UcDUxjPYWSr,tensor(9.9072),tensor(1.3660)
uSE03demja,tensor(9.9089),tensor(1.5725)
UseMOjWENv,tensor(10.1234),tensor(1.4995)
uxgg9o7bI_3,tensor(10.2393),tensor(1.9320)
uYLFoz1vlAC,tensor(10.4996),tensor(1.6898)
UYneFzXSJWh,tensor(10.3380),tensor(1.6750)
w1UbdvWH_R3,tensor(10.6436),tensor(2.0776)
WAid50QschI,tensor(10.4121),tensor(1.6786)
wIzUeM3TAU,tensor(10.5042),tensor(1.6742)
wRODLDHaAiW,tensor(nan),tensor(nan)
XzTtHjgPDsT,tensor(10.4590),tensor(2.0305)
YWNAX0caEjI,tensor(10.3539),tensor(1.5500)
Z7Lk2cQEG8a,tensor(10.0535),tensor(1.6725)
z7p2V6KROOV,tensor(10.2326),tensor(1.7555)
zIUyj55nXR,tensor(10.3667),tensor(1.6622)
_CfpJazzXT2,tensor(9.8597),tensor(1.6694)
