technical_novelty_score_mean,similarity_std
2.75,tensor(1.5975)
3,tensor(0.9868)
3,tensor(1.6796)
3,tensor(2.0472)
3,tensor(1.8718)
2.6667,tensor(1.8742)
3.6667,tensor(1.8899)
3.25,tensor(1.8709)
2.75,tensor(1.9815)
2.5,tensor(1.9253)
3.6667,tensor(1.3902)
2.3333,tensor(1.9385)
3,tensor(1.4254)
3.5,tensor(1.6594)
3,tensor(1.7445)
3.2,tensor(1.3860)
2.6667,tensor(1.9179)
3,tensor(2.2928)
2.75,tensor(1.6396)
2.75,tensor(null)
2.5,tensor(1.7958)
3.5,tensor(1.7135)
3,tensor(1.5864)
3,tensor(2.5673)
3.25,tensor(1.3363)
2.5,tensor(1.6365)
3,tensor(1.9602)
3.25,tensor(1.5688)
3,tensor(1.6229)
2.5,tensor(1.9133)
2.75,tensor(2.3526)
3,tensor(1.8394)
3.25,tensor(1.8174)
3,tensor(1.9793)
3.25,tensor(1.9743)
3,tensor(1.8007)
3.5,tensor(1.8466)
3,tensor(1.4501)
3.5,tensor(1.8133)
3.6667,tensor(1.5318)
3.25,tensor(1.9248)
3,tensor(1.8209)
2.6667,tensor(1.6569)
3,tensor(1.6685)
3.5,tensor(1.9905)
2.75,tensor(1.5211)
3,tensor(1.7598)
2.75,tensor(1.9068)
2,tensor(1.5771)
3,tensor(1.5087)
2.8,tensor(1.9562)
3.25,tensor(1.9611)
3.25,tensor(1.4578)
3.3333,tensor(1.9665)
2.75,tensor(1.5794)
2.75,tensor(1.7560)
2.5,tensor(1.7957)
2.4,tensor(1.8659)
3,tensor(2.0672)
2,tensor(1.9919)
2.6,tensor(1.5303)
2.8,tensor(2.1255)
2,tensor(1.6621)
2,tensor(1.5401)
3,tensor(1.0318)
2.3333,tensor(2.0909)
3,tensor(1.8976)
1.6667,tensor(1.6056)
2.8,tensor(1.7065)
2,tensor(0.7107)
2.75,tensor(1.4389)
1.8,tensor(1.6158)
2.25,tensor(2.1955)
1.6,tensor(2.1450)
2.5,tensor(2.0360)
2.4,tensor(1.7394)
2.75,tensor(1.4746)
2.3333,tensor(1.5416)
2.8,tensor(1.8286)
3.2,tensor(1.9192)
3,tensor(1.7270)
1.6667,tensor(1.9106)
2.4,tensor(1.5620)
2.75,tensor(2.1787)
2.5,tensor(0.7983)
2.75,tensor(2.1142)
2.25,tensor(2.1065)
1.75,tensor(1.5910)
2.2,tensor(1.1705)
2.25,tensor(1.9916)
2,tensor(1.8148)
2.3333,tensor(1.7423)
1.25,tensor(1.7086)
2.5,tensor(1.6758)
2.6667,tensor(0.9269)
2.5,tensor(1.5678)
3,tensor(2.1191)
2,tensor(1.7023)
2.25,tensor(1.6844)
1.6667,tensor(1.3065)
2,tensor(1.6090)
2.75,tensor(1.8541)
2,tensor(2.1198)
2.5,tensor(1.4569)
2.25,tensor(1.3040)
2.25,tensor(1.7973)
2.25,tensor(1.7712)
2.3333,tensor(1.6044)
2.25,tensor(1.8381)
2.75,tensor(1.3818)
2.5,tensor(1.9023)
2.25,tensor(1.6711)
2.3333,tensor(1.9976)
2.75,tensor(1.3621)
2.5,tensor(1.7086)
2,tensor(1.9029)
2.25,tensor(1.9530)
2.2,tensor(1.9443)
1.75,tensor(1.9537)
2.25,tensor(1.8981)
2,tensor(1.4569)
2.75,tensor(1.1656)
2.25,tensor(1.9007)
2.3333,tensor(1.5645)
2.5,tensor(1.9504)
2.3333,tensor(1.6126)
2.5,tensor(1.5654)
2.75,tensor(2.2752)
2.75,tensor(1.9269)
2,tensor(1.1487)
2.5,tensor(2.0277)
2.75,tensor(nan)
2.75,tensor(1.8743)
2,tensor(1.9136)
2.5,tensor(1.8204)
2.8,tensor(1.8298)
2,tensor(2.2597)
2,tensor(2.1334)
2.5,tensor(1.4484)
2.75,tensor(2.2919)
1.25,tensor(1.7810)
2.75,tensor(1.5650)
2.25,tensor(1.4120)
2,tensor(1.3581)
2,tensor(1.5796)
2,tensor(1.9321)
1.6667,tensor(1.0779)
2.6667,tensor(1.4487)
2.75,tensor(1.5794)
2.5,tensor(1.6012)
1.5,tensor(1.9349)
2.75,tensor(2.0574)
2,tensor(1.6366)
1.75,tensor(1.5201)
3,tensor(1.2359)
2.75,tensor(1.4263)
2.25,tensor(1.6229)
2.25,tensor(1.6484)
1.75,tensor(1.3957)
2.3333,tensor(1.4715)
2.75,tensor(1.6799)
2.5,tensor(1.6836)
2.6667,tensor(nan)
2.8,tensor(1.7815)
2.75,tensor(1.6876)
1.75,tensor(2.1742)
2.5,tensor(1.8333)
2.75,tensor(1.5872)
2.5,tensor(1.2208)
2.5,tensor(1.7958)
2.75,tensor(1.3382)
2.75,tensor(2.0384)
2,tensor(1.9486)
2.75,tensor(1.5020)
2.6667,tensor(1.9628)
2,tensor(2.0016)
2.25,tensor(1.3343)
1.75,tensor(2.0679)
1.2,tensor(1.5098)
3,tensor(1.2875)
2.5,tensor(1.7261)
2.25,tensor(1.7826)
2.5,tensor(0.4522)
2,tensor(1.6904)
2.5,tensor(1.4822)
3.3333,tensor(1.8910)
1.75,tensor(1.8494)
2.25,tensor(0.9002)
2.25,tensor(1.3486)
2.75,tensor(2.1116)
3.25,tensor(1.7695)
2.75,tensor(2.0599)
3,tensor(1.6276)
1.25,tensor(0.6935)
2.75,tensor(1.4863)
2.75,tensor(1.4047)
2,tensor(1.5155)
2.3333,tensor(1.6943)
2.75,tensor(1.4871)
3,tensor(1.8386)
3.3333,tensor(2.4732)
2,tensor(1.4137)
2.75,tensor(1.3164)
2.5,tensor(1.7883)
2.6,tensor(1.3808)
2,tensor(1.3006)
2.5,tensor(1.8833)
2.5,tensor(1.5827)
3,tensor(2.0379)
2,tensor(1.7543)
1.75,tensor(1.7462)
1.75,tensor(2.0996)
2,tensor(1.4160)
2,tensor(1.9477)
2.75,tensor(1.4948)
2.75,tensor(1.8172)
2.5,tensor(1.6358)
2.5,tensor(1.6578)
2,tensor(1.9681)
2,tensor(1.8008)
2.25,tensor(2.5807)
2.5,tensor(1.7785)
2.75,tensor(2.3777)
1.25,tensor(1.5538)
2.6,tensor(1.9817)
3,tensor(1.6220)
2.6667,tensor(1.8357)
2.75,tensor(1.7890)
2.4,tensor(2.0342)
2.5,tensor(1.6224)
2.75,tensor(1.2499)
2,tensor(1.4603)
2.25,tensor(1.8500)
