technical_novelty_score_mean,similarity_std
2.5,tensor(1.6984)
2.25,tensor(1.6262)
2.6667,tensor(2.1769)
2.3333,tensor(1.6172)
1.5,tensor(0.7970)
1.25,tensor(1.6137)
2.2,tensor(1.7184)
3.25,tensor(1.5700)
2.5,tensor(2.0961)
1.8,tensor(1.8729)
2.8,tensor(1.3261)
2.75,tensor(2.2778)
2,tensor(1.2129)
2.25,tensor(1.9941)
2.6667,tensor(2.2479)
2.2,tensor(1.8102)
2.4,tensor(1.9264)
2.5,tensor(1.5266)
3,tensor(1.8419)
2.25,tensor(1.8127)
2.75,tensor(1.8048)
2,tensor(2.4099)
2.25,tensor(1.9568)
2.25,tensor(1.6984)
2.25,tensor(1.6380)
2.6667,tensor(1.7622)
2.75,tensor(2.0676)
2.3333,tensor(2.0769)
2,tensor(1.5078)
2.75,tensor(1.8564)
2.5,tensor(1.6996)
2.5,tensor(1.8307)
2.5,tensor(1.7039)
1.75,tensor(1.8205)
3.25,tensor(1.8524)
2.5,tensor(1.3668)
2.25,tensor(1.9406)
2.5,tensor(2.2576)
2,tensor(1.6943)
2.6,tensor(1.6181)
2,tensor(1.4856)
2.25,tensor(1.5530)
2.75,tensor(1.9050)
1.5,tensor(1.8956)
1.6667,tensor(1.3812)
2.5,tensor(1.6211)
3,tensor(2.0192)
2.5,tensor(1.9696)
3.2,tensor(1.4295)
2.25,tensor(1.6693)
2.25,tensor(1.6439)
2.6,tensor(1.7576)
1.75,tensor(1.8449)
3,tensor(1.4321)
2.25,tensor(1.7474)
2,tensor(1.7077)
2.3333,tensor(1.5294)
2.75,tensor(1.8186)
2.5,tensor(1.6675)
1.75,tensor(1.6961)
1.75,tensor(1.3789)
3,tensor(0.4792)
3,tensor(1.5618)
2,tensor(1.4972)
2.25,tensor(2.3618)
1.75,tensor(1.7890)
2.75,tensor(2.1242)
2.6,tensor(1.1611)
2.5,tensor(1.6681)
1.75,tensor(1.7279)
2.25,tensor(1.4458)
2.75,tensor(1.7351)
3,tensor(1.6876)
2.25,tensor(1.6595)
2.4,tensor(1.8388)
1.75,tensor(1.3350)
2.3333,tensor(1.8050)
2.5,tensor(1.8223)
1.6,tensor(1.6681)
2.75,tensor(1.5450)
2.25,tensor(1.4428)
2.5,tensor(1.5725)
3.25,tensor(2.0596)
2.25,tensor(1.9745)
2.25,tensor(1.8058)
2.25,tensor(1.8124)
3,tensor(2.1668)
2.5,tensor(1.7173)
2.5,tensor(2.0647)
2.3333,tensor(1.8563)
2.6667,tensor(2.1150)
2.5,tensor(1.6986)
2.25,tensor(1.7642)
2,tensor(1.4437)
2.6667,tensor(1.9341)
2.5,tensor(1.4604)
2.25,tensor(1.8114)
2.25,tensor(1.8524)
2.5,tensor(1.8127)
2.3333,tensor(nan)
2,tensor(1.2222)
2.75,tensor(1.3688)
2.3333,tensor(1.5673)
2.75,tensor(1.6474)
2.75,tensor(1.9111)
2.5,tensor(1.6020)
2.4,tensor(3.2674)
1.75,tensor(1.5437)
2,tensor(1.8915)
2.4,tensor(1.5554)
2.25,tensor(1.9895)
2,tensor(1.5847)
2,tensor(0.9652)
3.75,tensor(1.2987)
3,tensor(1.9961)
2.25,tensor(1.5414)
2.3333,tensor(1.9079)
2.75,tensor(1.5648)
2.75,tensor(1.2455)
2.5,tensor(nan)
2,tensor(1.8235)
2,tensor(1.7610)
2.5,tensor(1.6820)
2.5,tensor(1.5576)
3.3333,tensor(1.8836)
2,tensor(1.5635)
2.75,tensor(1.7825)
3,tensor(1.5198)
2.6667,tensor(1.5901)
2.75,tensor(1.6900)
2.25,tensor(1.2887)
3,tensor(1.9133)
3,tensor(1.6390)
2.75,tensor(1.8651)
2,tensor(1.5048)
3,tensor(2.0299)
1.8,tensor(1.8459)
2,tensor(1.8016)
2.25,tensor(1.5784)
2.25,tensor(1.9669)
2.25,tensor(1.8485)
2.6667,tensor(1.9699)
2.6667,tensor(1.8137)
2.4,tensor(1.4362)
2.75,tensor(1.7943)
2.25,tensor(1.5847)
3.25,tensor(1.7865)
2.25,tensor(1.4582)
2,tensor(2.0357)
3,tensor(1.5233)
2.5,tensor(2.0006)
2.25,tensor(1.6206)
1.75,tensor(1.6243)
2.8,tensor(0.9212)
2.3333,tensor(1.5597)
2.25,tensor(2.3587)
2.25,tensor(1.8691)
1.4,tensor(1.8821)
2,tensor(1.6353)
2.25,tensor(1.9538)
2,tensor(1.4149)
2.25,tensor(2.1234)
2,tensor(1.6993)
2.6667,tensor(1.6504)
1.8,tensor(1.5969)
2,tensor(1.7920)
2.75,tensor(1.8954)
1,tensor(1.3938)
2.75,tensor(1.4779)
2.75,tensor(1.1514)
2.25,tensor(1.6692)
2,tensor(1.7988)
2.5,tensor(1.7646)
2.2,tensor(1.9749)
2.25,tensor(2.0141)
2.25,tensor(1.4982)
2.25,tensor(1.7174)
2.8,tensor(1.8267)
2.25,tensor(1.4819)
2.75,tensor(1.5519)
2.25,tensor(1.2622)
2.2,tensor(1.6255)
2.4,tensor(1.7140)
2.3333,tensor(1.8407)
3.25,tensor(1.9184)
2.3333,tensor(1.5184)
2,tensor(2.1157)
2.5,tensor(1.5094)
2,tensor(1.4849)
2.25,tensor(1.6125)
2.75,tensor(1.7697)
2.5,tensor(1.8926)
2.3333,tensor(1.5351)
2.4,tensor(nan)
1.3333,tensor(1.5406)
3,tensor(1.5628)
2.5,tensor(1.6445)
2.25,tensor(1.8487)
2.6667,tensor(1.9381)
1.75,tensor(1.5796)
2.4,tensor(1.7935)
2.4,tensor(1.9071)
2.25,tensor(2.0909)
2.5,tensor(2.3906)
2.75,tensor(1.6767)
2.6667,tensor(1.7388)
2,tensor(1.5003)
3,tensor(2.0369)
2.75,tensor(1.9916)
2.25,tensor(nan)
2.25,tensor(1.3256)
2.25,tensor(1.8599)
2,tensor(1.4663)
2.25,tensor(1.4743)
2,tensor(2.0313)
2.25,tensor(1.6673)
2.5,tensor(1.6625)
2.6667,tensor(1.6054)
2.6667,tensor(1.9429)
3.25,tensor(2.3670)
2.25,tensor(1.5143)
2.6,tensor(1.8063)
2,tensor(1.9709)
2.5,tensor(1.6473)
2,tensor(1.7061)
2.75,tensor(1.5831)
1.75,tensor(1.3198)
2,tensor(1.6892)
3.25,tensor(1.5503)
2,tensor(1.6900)
2.75,tensor(1.4732)
2,tensor(1.8590)
2.5,tensor(2.1529)
2.5,tensor(nan)
2.75,tensor(1.6286)
2.5,tensor(1.6557)
2.75,tensor(1.5823)
2.25,tensor(1.8316)
2.2,tensor(1.6516)
1.5,tensor(1.2798)
2.6667,tensor(1.5544)
3.25,tensor(1.8590)
2.2,tensor(2.2990)
2,tensor(1.8062)
2,tensor(2.3403)
2.3333,tensor(1.8172)
2,tensor(1.4931)
2.6667,tensor(1.1742)
2.5,tensor(1.8378)
2.25,tensor(1.4879)
2.5,tensor(1.4555)
3,tensor(1.6386)
2.6667,tensor(2.1364)
2.75,tensor(1.8193)
2.2,tensor(1.6377)
2.5,tensor(1.7781)
2.25,tensor(2.0078)
2.2,tensor(1.7982)
3,tensor(1.7071)
2.8,tensor(1.5711)
1.5,tensor(0.7587)
2,tensor(1.7411)
2.75,tensor(2.0979)
2,tensor(1.5220)
2,tensor(1.9529)
2.2,tensor(1.7024)
3,tensor(1.5141)
2,tensor(2.0028)
2.5,tensor(1.2539)
2.75,tensor(1.5247)
2.25,tensor(1.6617)
2.5,tensor(1.8482)
3,tensor(2.2045)
2.5,tensor(1.6180)
2.3333,tensor(1.2272)
2.6,tensor(1.6979)
2.25,tensor(1.6062)
1.75,tensor(1.8082)
2.75,tensor(2.1895)
2.6667,tensor(nan)
2.75,tensor(1.9454)
2.4,tensor(1.5455)
2.75,tensor(1.9627)
2.5,tensor(1.7778)
2.3333,tensor(1.6026)
2.5,tensor(1.6622)
2.2,tensor(1.6503)
2.6667,tensor(1.5965)
2.25,tensor(1.7852)
2.2,tensor(1.8989)
1.75,tensor(1.6993)
2.75,tensor(1.4352)
2,tensor(nan)
2.5,tensor(1.4095)
2.3333,tensor(1.5760)
2,tensor(1.4754)
2.25,tensor(1.8169)
2.75,tensor(1.4014)
2.4,tensor(1.9631)
3,tensor(1.7884)
2.3333,tensor(1.3104)
2.75,tensor(2.0141)
2.25,tensor(1.2833)
2.6,tensor(1.8898)
2,tensor(2.1287)
2.75,tensor(1.3249)
2,tensor(1.3415)
2.75,tensor(1.7479)
2.3333,tensor(2.0754)
2,tensor(1.4873)
2.6,tensor(1.6614)
2.6,tensor(1.8336)
3.2,tensor(1.7176)
3,tensor(2.1081)
3,tensor(1.6026)
2.25,tensor(1.8195)
2.25,tensor(1.6047)
2.75,tensor(1.2910)
2.25,tensor(1.6789)
2.3333,tensor(1.6056)
2.75,tensor(1.8467)
2,tensor(1.5432)
3.3333,tensor(1.4921)
2.25,tensor(1.8028)
3.25,tensor(1.5545)
2.5,tensor(1.8488)
2,tensor(2.3596)
1.75,tensor(2.5406)
3,tensor(1.7435)
2.75,tensor(2.0259)
3,tensor(1.7965)
2.5,tensor(1.5788)
1.5,tensor(1.6501)
2.25,tensor(3.3136)
3,tensor(1.9960)
2.75,tensor(1.8370)
2,tensor(2.0108)
2.3333,tensor(2.0793)
2.4,tensor(nan)
3,tensor(1.5408)
2.25,tensor(2.2192)
2.4,tensor(2.2659)
2,tensor(2.1959)
1.75,tensor(1.4463)
2.25,tensor(2.0350)
2.25,tensor(1.8633)
1.3333,tensor(1.8152)
2,tensor(1.9967)
2.5,tensor(1.5989)
1.4,tensor(2.4775)
2.4,tensor(1.7101)
2.25,tensor(1.9151)
2.5,tensor(1.5643)
2.75,tensor(2.0469)
3,tensor(2.0809)
2.5,tensor(1.9828)
1.75,tensor(1.7681)
2,tensor(1.5937)
3,tensor(1.5112)
2.5,tensor(2.0728)
2.25,tensor(1.6390)
2.6667,tensor(1.8612)
2,tensor(1.9560)
3.3333,tensor(1.6593)
1.75,tensor(1.9785)
2.75,tensor(1.4185)
1.75,tensor(1.6504)
3,tensor(1.3831)
2.5,tensor(1.4529)
1.6667,tensor(1.2988)
2,tensor(1.9829)
2.6667,tensor(1.8721)
2.75,tensor(2.1986)
2,tensor(nan)
2.5,tensor(1.7180)
2.75,tensor(1.4973)
2.6,tensor(2.1042)
2.5,tensor(1.5130)
2.3333,tensor(1.5696)
2.6,tensor(1.8649)
2.4,tensor(2.1352)
2.6667,tensor(1.4254)
2.25,tensor(1.4710)
3.25,tensor(1.6359)
3.5,tensor(1.7501)
2.5,tensor(1.4687)
1.5,tensor(1.9236)
3,tensor(1.4664)
1.5,tensor(1.3585)
2.25,tensor(1.6637)
2.3333,tensor(1.8034)
3,tensor(1.5326)
2,tensor(1.3512)
2.5,tensor(1.7211)
3,tensor(1.6250)
3,tensor(1.5759)
2.5,tensor(1.6223)
3,tensor(1.3955)
2.3333,tensor(2.3434)
1.75,tensor(1.8798)
2.75,tensor(2.0553)
3,tensor(1.2404)
1.6,tensor(2.5774)
1.75,tensor(2.0551)
1.6667,tensor(1.6910)
1,tensor(1.7071)
2.5,tensor(1.6299)
1.25,tensor(1.6129)
2.5,tensor(2.0507)
3.5,tensor(2.0249)
2,tensor(1.6673)
2,tensor(2.1579)
2,tensor(1.9292)
2.25,tensor(0.9431)
2,tensor(2.0136)
2,tensor(2.0683)
2.5,tensor(1.8929)
2.25,tensor(2.0224)
2.3333,tensor(1.8767)
2.5,tensor(1.7949)
2.25,tensor(1.8735)
2.25,tensor(1.6813)
1.75,tensor(2.1607)
2.5,tensor(2.0809)
2,tensor(1.6552)
2,tensor(2.0956)
2,tensor(2.0185)
2.5,tensor(1.8541)
2,tensor(1.5013)
2.5,tensor(1.6419)
2.25,tensor(1.6257)
2,tensor(1.5212)
2.25,tensor(1.5717)
2.6,tensor(1.8074)
2.5,tensor(1.9561)
1.5,tensor(2.0850)
2,tensor(1.5137)
2.5,tensor(1.5889)
1.3333,tensor(1.5769)
2.6,tensor(4.9458)
1.3333,tensor(1.1882)
2.5,tensor(1.9243)
2.75,tensor(2.0182)
2.5,tensor(1.4252)
2.5,tensor(1.6082)
2.25,tensor(1.4303)
2.25,tensor(1.9037)
2.75,tensor(1.8188)
2.5,tensor(1.7556)
2.3333,tensor(1.4684)
2.25,tensor(1.6951)
3,tensor(1.5231)
2.25,tensor(nan)
2,tensor(1.6350)
2.3333,tensor(1.8519)
3,tensor(1.8755)
1.4,tensor(2.0458)
2.5,tensor(1.5961)
3,tensor(1.4429)
2.3333,tensor(2.2848)
2.5,tensor(1.0369)
2.2,tensor(1.6887)
2.5,tensor(1.6964)
2,tensor(1.4244)
1.5,tensor(0.8738)
2.3333,tensor(1.7843)
3,tensor(1.7600)
3,tensor(1.4322)
2.4,tensor(1.5232)
2,tensor(1.7228)
2.2,tensor(1.5114)
3,tensor(1.9389)
2.3333,tensor(1.3184)
2.75,tensor(1.0383)
2.25,tensor(2.1112)
2.5,tensor(1.4242)
1.5,tensor(2.0179)
3,tensor(1.9212)
2.75,tensor(1.7992)
1.6667,tensor(1.9855)
2.6667,tensor(1.9901)
3,tensor(1.7746)
2.3333,tensor(2.3337)
2,tensor(1.5730)
1.75,tensor(1.8784)
2,tensor(1.4331)
2.3333,tensor(1.7974)
2.5,tensor(1.0572)
2.25,tensor(1.9572)
2.5,tensor(1.8419)
3,tensor(1.5491)
2.25,tensor(1.8862)
2.5,tensor(1.4495)
2.75,tensor(1.7399)
2.25,tensor(1.9344)
3,tensor(2.9670)
2.5,tensor(1.9468)
2.25,tensor(1.9839)
1.75,tensor(1.7501)
2.6,tensor(1.8517)
2.75,tensor(1.5913)
2.4,tensor(1.6690)
2.75,tensor(1.6939)
3,tensor(1.5974)
2.25,tensor(1.4817)
1.8,tensor(1.8714)
2,tensor(1.5753)
2.75,tensor(1.8320)
2.2,tensor(1.6495)
2.8,tensor(1.8994)
2.6667,tensor(1.3312)
2,tensor(1.2111)
2.25,tensor(2.0036)
3,tensor(1.6005)
2,tensor(1.4579)
1.5,tensor(1.7020)
1.75,tensor(1.5311)
2.3333,tensor(1.6790)
2.25,tensor(1.8768)
2.25,tensor(1.9668)
2.25,tensor(1.6652)
2.5,tensor(1.0520)
2.25,tensor(nan)
1.75,tensor(1.7970)
3.25,tensor(1.6319)
2.5,tensor(1.9667)
3,tensor(1.8085)
2,tensor(1.6102)
2,tensor(2.0741)
2.75,tensor(2.1047)
2.75,tensor(1.5635)
2.25,tensor(2.2122)
1.75,tensor(1.2922)
2.75,tensor(2.1682)
2.5,tensor(nan)
2.75,tensor(1.6984)
1.5,tensor(1.8424)
2.75,tensor(1.6072)
2.75,tensor(2.2030)
2.5,tensor(1.5870)
2,tensor(1.8613)
2.5,tensor(2.2122)
2.3333,tensor(1.5906)
2.6667,tensor(1.9788)
2,tensor(1.6533)
1.5,tensor(1.8409)
2.6,tensor(2.4448)
2.25,tensor(2.3705)
2.25,tensor(1.8560)
2.6,tensor(1.8002)
2,tensor(1.5872)
3,tensor(1.8684)
2.25,tensor(1.8365)
2.75,tensor(2.3739)
2.25,tensor(1.7943)
2.5,tensor(2.0232)
2.75,tensor(1.7922)
2.25,tensor(1.5582)
2.25,tensor(nan)
2.75,tensor(1.9509)
1.25,tensor(1.7146)
3,tensor(1.5960)
2.25,tensor(1.2749)
2.5,tensor(1.6107)
2.5,tensor(2.2326)
2.75,tensor(1.8816)
2,tensor(1.6490)
2.6,tensor(1.8279)
2,tensor(1.4096)
2.3333,tensor(1.3218)
2,tensor(nan)
2.25,tensor(2.3268)
2.8,tensor(1.6907)
1.6667,tensor(2.2093)
2.3333,tensor(1.5019)
2.25,tensor(1.5514)
2,tensor(1.9670)
3.3333,tensor(1.5645)
2.5,tensor(1.7520)
2,tensor(1.4493)
2.75,tensor(1.3332)
2.25,tensor(1.8304)
3.25,tensor(1.8764)
2.6667,tensor(1.8466)
1.75,tensor(1.9356)
2.25,tensor(1.4423)
2.5,tensor(1.7016)
3.25,tensor(1.7021)
2.5,tensor(1.6619)
3,tensor(1.4145)
1.75,tensor(1.5146)
2.5,tensor(1.8355)
2.25,tensor(1.8285)
2.25,tensor(1.6306)
2.6667,tensor(1.6185)
2.5,tensor(1.7473)
2,tensor(2.1635)
2.3333,tensor(1.9347)
2,tensor(1.6542)
2.5,tensor(0.8935)
2.6667,tensor(2.0393)
2,tensor(1.4246)
2,tensor(1.8756)
2.5,tensor(1.9066)
2.6667,tensor(1.4227)
2,tensor(1.4240)
2.25,tensor(1.9705)
2.5,tensor(1.7936)
2,tensor(2.1381)
3.25,tensor(1.8024)
2,tensor(2.8675)
2,tensor(1.3537)
2,tensor(1.7555)
3,tensor(2.0914)
2,tensor(1.7630)
2.75,tensor(1.6765)
2.5,tensor(1.4550)
2,tensor(1.7116)
2.6667,tensor(2.1190)
3,tensor(1.9726)
2,tensor(1.8550)
2,tensor(1.5007)
2.25,tensor(2.0500)
2,tensor(2.0961)
2.25,tensor(1.7638)
2.5,tensor(2.1063)
2.25,tensor(1.6302)
2.25,tensor(1.8849)
2.5,tensor(1.3168)
3,tensor(1.5549)
2.75,tensor(1.8252)
2.6667,tensor(1.8572)
2.5,tensor(1.0423)
2.2,tensor(1.4631)
2.5,tensor(1.2370)
2.3333,tensor(1.5365)
2.75,tensor(1.8273)
1.75,tensor(0.8685)
3,tensor(1.6078)
2.5,tensor(1.8615)
2,tensor(1.7612)
2.4,tensor(1.7347)
2.25,tensor(1.7310)
2.25,tensor(1.9948)
2.3333,tensor(2.2188)
2.5,tensor(1.6994)
1.75,tensor(1.8163)
2.25,tensor(2.6902)
2.2,tensor(1.4729)
2,tensor(1.6485)
2.5,tensor(2.4433)
2.5,tensor(1.9335)
2.75,tensor(1.7364)
2.75,tensor(2.2133)
2.5,tensor(nan)
2.4,tensor(1.5402)
2.25,tensor(1.9276)
2.5,tensor(2.0467)
3,tensor(1.7207)
2.5,tensor(1.4593)
2.3333,tensor(1.7182)
2,tensor(1.5603)
3,tensor(2.3314)
2.75,tensor(1.5378)
2.4,tensor(2.5422)
2.4,tensor(2.1406)
1,tensor(1.9376)
2,tensor(1.5562)
1.6667,tensor(1.2729)
2.4,tensor(1.3672)
1.8,tensor(1.6663)
1.75,tensor(1.9295)
1.75,tensor(1.6862)
2,tensor(1.7557)
2.75,tensor(1.6046)
1,tensor(1.5873)
2.5,tensor(1.3598)
2.6667,tensor(1.7563)
2.75,tensor(1.7129)
2.5,tensor(1.4882)
2.5,tensor(1.8592)
2.25,tensor(2.1506)
3,tensor(1.4550)
2.75,tensor(1.3066)
2,tensor(2.1302)
2.75,tensor(2.1065)
2,tensor(1.8007)
2.6667,tensor(1.4796)
2.6667,tensor(1.3542)
2.5,tensor(1.8202)
2.25,tensor(2.7512)
3,tensor(1.7348)
2,tensor(2.0061)
