论文题目,会议名称
 On the bottleneck of graph neural networks and its practical implications,In International Conference on Learning Representations
 Network geometry, Nature Reviews Physics
 The anatomy of a large-scale hypertextual web search engine,Computer networks and ISDN systems
" Geometric deep learning:Grids, groups, graphs, geodesics, and gauges", arXiv:2104
 Spectral networks and locallyconnected networks on graphs, In 2nd International Conference on Learning Representations
 Hyperbolic graph convolutional neuralnetworks, In NeurIPS
 A lower bound for the smallest eigenvalue of the laplacian, In Problems in analysis
 Four proofs for the cheeger inequality and graph partition algorithms, In Proceedings ofICCM
 Spectral graph theory, Number 92
 Diffusion maps, Applied and computational harmonicanalysis
 Convolutional neural networks ongraphs with fast localized spectral filtering, In D
 A general framework for adaptive processingof data structures, IEEE Trans
 A set of measures of centrality based on betweenness, Sociometry
 Neuralmessage passing for quantum chemistry, In International Conference on Machine Learning
 Learning task-dependent distributed representations bybackpropagation through structure, In ICNN
 A new model for learning in graph domains,In Proceedings
 The ricci flow on surfaces, In Mathematics and general relativity
 Inductive representation learning on large graphs,In NeurIPS
" Ollivier's ricci curvature, local clustering and curvature-dimensioninequalities on graphs", Discrete & Computational Geometry
 Differentiable graPh module(dgm) graph convolutional networks, arXiv preprint arXiv:2002
 Semi-Supervised Classification with Graph ConvolutionalNetworks, In Proceedings of the 5th International Conference on Learning Representations
 Ricci curvature of graphs, Tohoku MathematicalJournal
 Hyperbolic graph neural networks, InH
 Automating theconstruction of internet portals with machine learning, Information Retrieval
" Monti, K", Otness
 Weisfeiler and leman go neural: Higher-order graph neural networks,In AAAI Conference on Artificial Intelligence
" Non-negative ollivier curvature on graphs, reverse poincar\’e inequality, buserinequality, liouville property, harnack inequality and eigenvalue estimates", arXiv preprintarXiv:1907
 Query-driven activesurveying for collective classification, In 10th International Workshop on Mining and Learningwith Graphs
 Network alignment by discrete ollivier-ricciflow, In International Symposium on Graph Drawing and Network Visualization
 Revisiting graph neural networks: All we have is low-pass filters,2019
 Ricci curvature of markov chains on metric spaces, Journal of Functional Analysis
 Graph neural networks exponentially lose expressive power for nodeclassification, In ICLR
 Volume and diameter of a graph and ollivier’s ricci curvature, European Journalof Combinatorics
 Geom-gcn: Geometricgraph convolutional networks,2019
" Bronstein, andFederico Monti", Sign: Scalable inception graph neural networks
 Multi-scale attributed node embedding, Journalof Complex Networks
 Comparative analysisof two discretizations of ricci curvature for complex networks, Scientific reports
 Thegraph neural network model, IEEE transactions on neural networks
Collective classification in network data, AI magazine
 Pitfallsof graph neural network evaluation, In NIPS workshop
 Graph neural networks in particle physics,Machine Learning: Science and Technology
 Supervised neural networks for the classification ofstructures, IEEE Trans
 Forman curvaturefor complex networks, Journal of Statistical Mechanics: Theory and Experiment
 Coarse geometry of evolving networks, Journal ofcomplex networks
 Representation learning on graphs with jumping knowledge networks, In InternationalConference on Machine Learning
