论文题目,会议名称
 Latent space autoregressionfor novelty detection, In CVPR
 Revisiting resnets: Improved training and scaling strategies, arXivpreprint arXiv:2103
 Towards open set deep networks, In CVPR
 Classification-based anomaly detection for general data, In ICLR
 Local novelty detection inmulti-class recognition problems, In WACV
Scheirer, Learning and the unknown: Surveying steps toward open world recognition
 Learning open set network with discriminative reciprocal points, In ECCV
 Adversarial reciprocal pointslearning for open set recognition, IEEE TPAMI
 Improved baselines with momentumcontrastive learning, arXiv preprint arXiv:2003
 Describing textures in the wild, InCVPR
 Randaugment: Practical automated dataaugmentation with a reduced search space, In NeurIPS
 Reducing network agnostophobia, InNeurIPS
 An image is worth 16x16 words: Transformers for image recognition at scale,In ICLR
 Vos: Learning what you don’t know by virtualoutlier synthesis, ICLR
 Exploring the limits of out-of-distributiondetection, ICML Workshop on Uncertainty & Robustness in Deep Learning
 Generative openmax for multi-class open setclassification, In BMVC
" Probabilistic forecasts, calibration andsharpness", Journal of the Royal Statistical Society
 Weinberger, On calibration of modern neuralnetworks
Conditional variational capsule network for open set recognition, ICCV
 Learning to discover novel visual categories viadeep transfer clustering, In ICCV
Automatically discovering and learning new visual categories with ranking statistics, In ICLR
Autonovel: Automatically discovering and learning novel visual categories, IEEE TPAMI
 Deep residual learning for image recognition,In CVPR
 A baseline for detecting misclassified and out-of-distributionexamples in neural networks, In ICLR
 Deep anomaly detection with outlierexposure, In ICLR
 Natural adversarialexamples, CVPR
 Generalized odin: Detecting out-of-distribution image without learning from out-of-distribution data, In CVPR
 Opengan: Open-set recognition via open data generation, ICCV
 3d object representations for fine-grainedcategorization, In International IEEE Workshop on 3D Representation and Recognition (3dRR)
 Learning multiple layers of features from tiny images, University of Toronto
 Open world vision challenge, CVPRWorkshop on Open World Vision
 Backpropagatedgradient representations for anomaly detection, In ECCV
 Tiny imagenet visual recognition challenge, In CS231N
 Mnist handwritten digit database, ATT Labs [Online]
 Hierarchicalnovelty detection for visual object recognition, In CVPR
 A simple unified framework for detectingout-of-distribution samples and adversarial attacks, NeurIPS
 Enhancing the reliability of out-of-distributionimage detection in neural networks, In ICLR
 Fast autoaugment, InNeurIPS
 Energy-based out-of-distribution detection,NeurIPS
 SGDR: stochastic gradient descent with warm restarts, In ICLR
 Fine-grainedvisual classification of aircraft, arXiv preprint arXiv:1306
 Do you even need attention? a stack of feed-forward layers does surprisinglywell on imagenet, ArXiv e-prints
 Class anchor clustering: adistance-based loss for training open set classifiers, In WACV
 Revisiting the calibration of modern neural networks, ArXive-prints
 Open set learningwith counterfactual images, In ECCV
 Ng, Readingdigits in natural images with unsupervised feature learning
 Automated flower classification over a large numberof classes, In Proceedings of the Indian Conference on Computer Vision
 C2ae: Class conditioned auto-encoder for open-set recognition, InCVPR
 Deep transfer learning for multiple class novelty detection,In CVPR
 Ocgan: One-class novelty detection usinggans with constrained latent representations, In CVPR
 Generative-discriminative feature representations for open-setrecognition, In CVPR
 L2-constrained softmax loss fordiscriminative face verification, arXiv preprint arXiv:1703
 Imagenet-21k pretraining forthe masses, ArXiv e-prints
" Berg, and Li Fei-Fei", ImageNetLarge Scale Visual Recognition Challenge
 Concept generalizationin visual representation learning, In ICCV
 Boult, Towards open setrecognition
 P-odn: Prototype-based opendeep network for open set recognition, Scientific Reports
 Very deep convolutional networks for large-scale imagerecognition, In ICLR
 Conditional gaussiandistribution learning for open set recognition, In CVPR
 Open set recognition with conditionalprobabilistic generative models, arXiv preprint arXiv:2008
 Re-thinking the inception architecture for computer vision, In CVPR
 Csi: Novelty detection via contrastivelearning on distributionally shifted instances, In NeurIPS
 Le, Efficientnet: Rethinking model scaling for convolutional neuralnetworks
 Mlp-mixer: An all-mlp architecture for vision, In arXiv
 80 million tiny images: A large data set fornonparametric object and scene recognition, IEEE TPAMI
 The Caltech-UCSD Birds-200-2011 Dataset, Technical Report CNS-TR-2011-001
 Pytorch image models, GitHub repository [Online]
 Turkergaze: Crowdsourcing saliency with webcam based eye tracking, ArXiv e-prints
Classification-reconstruction learning for open-set recognition, In CVPR
 Lsun: Construction of alarge-scale image dataset using deep learning with humans in the loop, ArXiv e-prints
 Understandingdeep learning requires rethinking generalization, In ICLR
 Hybrid models for open set recognition, InECCV
 Places: A 10million image database for scene recognition, In IEEE TPAMI
 Learning placeholders for open-set recognition, InCVPR
