technical_novelty_score_mean,similarity_std,type
2.5,1.8204,Rejected Submissions
2.8,1.8298,Rejected Submissions
2,2.2597,Rejected Submissions
2,2.1334,Rejected Submissions
2.5,1.4484,Rejected Submissions
2.75,2.2919,Rejected Submissions
1.25,1.781,Rejected Submissions
2.75,1.565,Rejected Submissions
2.25,1.412,Rejected Submissions
2,1.3581,Rejected Submissions
2,1.5796,Rejected Submissions
2,1.9321,Rejected Submissions
1.6667,1.0779,Rejected Submissions
2.6667,1.4487,Rejected Submissions
2.75,1.5794,Rejected Submissions
2.5,1.6012,Rejected Submissions
1.5,1.9349,Rejected Submissions
2.75,2.0574,Rejected Submissions
2,1.6366,Rejected Submissions
1.75,1.5201,Rejected Submissions
3,1.2359,Rejected Submissions
2.75,1.4263,Rejected Submissions
2.25,1.6229,Rejected Submissions
2.25,1.6484,Rejected Submissions
1.75,1.3957,Rejected Submissions
2.3333,1.4715,Rejected Submissions
2.75,1.6799,Rejected Submissions
2.5,1.6836,Rejected Submissions
2.6667,nan,Rejected Submissions
2.8,1.7815,Rejected Submissions
2.75,1.6876,Rejected Submissions
1.75,2.1742,Rejected Submissions
2.5,1.8333,Rejected Submissions
2.75,1.5872,Rejected Submissions
2.5,1.2208,Rejected Submissions
2.5,1.7958,Rejected Submissions
2.75,1.3382,Rejected Submissions
2.75,2.0384,Rejected Submissions
2,1.9486,Rejected Submissions
2.75,1.502,Rejected Submissions
2.6667,1.9628,Rejected Submissions
2,2.0016,Rejected Submissions
2.25,1.3343,Rejected Submissions
1.75,2.0679,Rejected Submissions
1.2,1.5098,Rejected Submissions
3,1.2875,Rejected Submissions
2.5,1.7261,Rejected Submissions
2.25,1.7826,Rejected Submissions
2.5,0.4522,Rejected Submissions
2,1.6904,Rejected Submissions
2.5,1.4822,Rejected Submissions
3.3333,1.891,Rejected Submissions
1.75,1.8494,Rejected Submissions
2.25,0.9002,Rejected Submissions
2.25,1.3486,Rejected Submissions
2.75,2.1116,Rejected Submissions
3.25,1.7695,Rejected Submissions
2.75,2.0599,Rejected Submissions
3,1.6276,Rejected Submissions
1.25,0.6935,Rejected Submissions
2.75,1.4863,Rejected Submissions
2.75,1.4047,Rejected Submissions
2,1.5155,Rejected Submissions
2.3333,1.6943,Rejected Submissions
2.75,1.4871,Rejected Submissions
3,1.8386,Rejected Submissions
3.3333,2.4732,Rejected Submissions
2,1.4137,Rejected Submissions
2.75,1.3164,Rejected Submissions
2.5,1.7883,Rejected Submissions
2.6,1.3808,Rejected Submissions
2,1.3006,Rejected Submissions
2.5,1.8833,Rejected Submissions
2.5,1.5827,Rejected Submissions
3,2.0379,Rejected Submissions
2,1.7543,Rejected Submissions
1.75,1.7462,Rejected Submissions
1.75,2.0996,Rejected Submissions
2,1.416,Rejected Submissions
2,1.9477,Rejected Submissions
2.75,1.4948,Rejected Submissions
2.75,1.8172,Rejected Submissions
2.5,1.6358,Rejected Submissions
2.5,1.6578,Rejected Submissions
2,1.9681,Rejected Submissions
2,1.8008,Rejected Submissions
2.25,2.5807,Rejected Submissions
2.5,1.7785,Rejected Submissions
2.75,2.3777,Rejected Submissions
1.25,1.5538,Rejected Submissions
2.6,1.9817,Rejected Submissions
3,1.622,Rejected Submissions
2.6667,1.8357,Rejected Submissions
2.75,1.789,Rejected Submissions
2.4,2.0342,Rejected Submissions
2.5,1.6224,Rejected Submissions
2.75,1.2499,Rejected Submissions
2,1.4603,Rejected Submissions
2.25,1.85,Rejected Submissions
3,2.1353,Rejected Submissions
2.4,2.1034,Rejected Submissions
2.75,1.6677,Rejected Submissions
2.8,1.511,Rejected Submissions
2.5,1.7135,Rejected Submissions
2,1.654,Rejected Submissions
2.75,1.7285,Rejected Submissions
2,1.82,Rejected Submissions
2,1.4851,Rejected Submissions
2.5,1.4136,Rejected Submissions
2,1.5667,Rejected Submissions
1.5,nan,Rejected Submissions
2.5,1.9874,Rejected Submissions
2,1.502,Rejected Submissions
2.6,1.9931,Rejected Submissions
2.25,2.0502,Rejected Submissions
2.5,1.5447,Rejected Submissions
2,1.8262,Rejected Submissions
2.6667,1.0061,Rejected Submissions
2,1.867,Rejected Submissions
3.25,1.6654,Rejected Submissions
2.5,1.7561,Rejected Submissions
2.75,1.8396,Rejected Submissions
2.5,1.5536,Rejected Submissions
2,1.9722,Rejected Submissions
2.3333,1.8908,Rejected Submissions
3.25,1.8891,Rejected Submissions
2.5,1.1793,Rejected Submissions
2.5,2.098,Rejected Submissions
2.25,1.8744,Rejected Submissions
2.3333,1.9038,Rejected Submissions
3,2.4639,Rejected Submissions
2.4,2.3777,Rejected Submissions
2,1.6637,Rejected Submissions
2.75,1.345,Rejected Submissions
2.25,1.0701,Rejected Submissions
2.25,1.9345,Rejected Submissions
2.25,1.9828,Rejected Submissions
3,2.1036,Rejected Submissions
2.5,1.5149,Rejected Submissions
2.5,2.2183,Rejected Submissions
2.5,1.7124,Rejected Submissions
3,1.9102,Rejected Submissions
2.75,1.499,Rejected Submissions
2.3333,1.9064,Rejected Submissions
1.75,1.4287,Rejected Submissions
2.6667,nan,Rejected Submissions
2.5,1.4994,Rejected Submissions
2.5,2.1771,Rejected Submissions
2.5,1.6612,Rejected Submissions
2.25,1.7584,Rejected Submissions
2,1.8809,Rejected Submissions
2.75,1.3957,Rejected Submissions
2.5,1.6928,Rejected Submissions
2.6,1.6194,Rejected Submissions
2.25,1.0503,Rejected Submissions
2,1.6706,Rejected Submissions
3.25,1.5988,Rejected Submissions
2,1.9595,Rejected Submissions
2.5,1.8629,Rejected Submissions
2.6667,1.6453,Rejected Submissions
2,1.3837,Rejected Submissions
2.5,1.7332,Rejected Submissions
2.25,1.2126,Rejected Submissions
2.75,2.8886,Rejected Submissions
2.5,1.6187,Rejected Submissions
2.75,1.534,Rejected Submissions
2.5,1.9821,Rejected Submissions
2.5,1.5365,Rejected Submissions
2,1.6917,Rejected Submissions
2.2,1.6814,Rejected Submissions
2.5,1.897,Rejected Submissions
1.75,1.7556,Rejected Submissions
2.75,1.6113,Rejected Submissions
2,1.9543,Rejected Submissions
2.6667,1.7538,Rejected Submissions
2.75,2.119,Rejected Submissions
2.5,1.3262,Rejected Submissions
2,1.3862,Rejected Submissions
3,1.8544,Rejected Submissions
2.6,1.9342,Rejected Submissions
2.5,1.8189,Rejected Submissions
3,1.5965,Rejected Submissions
1.6667,1.6936,Rejected Submissions
2.4,1.9224,Rejected Submissions
3,1.3906,Rejected Submissions
2.5,1.7598,Rejected Submissions
1.5,1.7568,Rejected Submissions
2.6667,1.266,Rejected Submissions
2.5,1.3417,Rejected Submissions
2.5,1.8392,Rejected Submissions
3.25,2.1239,Rejected Submissions
