technical_novelty_score_mean,similarity_std,type
2.5,1.7084,Rejected Submissions
1.5,1.508,Rejected Submissions
3,2.0936,Rejected Submissions
2.75,1.8019,Rejected Submissions
2.5,1.611,Rejected Submissions
2.75,1.8698,Rejected Submissions
2.25,1.6479,Rejected Submissions
3.3333,1.4304,Rejected Submissions
2,1.3249,Rejected Submissions
2.25,1.4996,Rejected Submissions
2.5,1.6993,Rejected Submissions
2.3333,1.7866,Rejected Submissions
2.25,1.8758,Rejected Submissions
2.5,1.9282,Rejected Submissions
2.5,1.5371,Rejected Submissions
2,1.0154,Rejected Submissions
2.25,2.0524,Rejected Submissions
2.75,2.1038,Rejected Submissions
2.6667,1.8525,Rejected Submissions
2.75,1.255,Rejected Submissions
2.3333,1.6042,Rejected Submissions
3,1.2932,Rejected Submissions
1,1.3103,Rejected Submissions
2.6667,nan,Rejected Submissions
1.25,1.71,Rejected Submissions
2,2.0229,Rejected Submissions
2.3333,2.0934,Rejected Submissions
2.25,1.5597,Rejected Submissions
1.75,2.6872,Rejected Submissions
2.25,1.6789,Rejected Submissions
2.25,1.7496,Rejected Submissions
1.75,2.563,Rejected Submissions
2.7143,2.0911,Rejected Submissions
2.6667,1.6653,Rejected Submissions
2,1.4114,Rejected Submissions
2.5,1.5973,Rejected Submissions
2.75,1.6594,Rejected Submissions
2.5,1.2859,Rejected Submissions
2,1.7127,Rejected Submissions
2.75,2.0053,Rejected Submissions
2.5,1.7593,Rejected Submissions
2.6,1.5323,Rejected Submissions
2.75,2.0881,Rejected Submissions
2,1.8986,Rejected Submissions
2.4286,2.0431,Rejected Submissions
2.6,1.8387,Rejected Submissions
2,1.7855,Rejected Submissions
2.6667,1.6472,Rejected Submissions
2.2,2.6253,Rejected Submissions
2.75,2.0212,Rejected Submissions
2.2,1.5336,Rejected Submissions
2.5,1.939,Rejected Submissions
2.4,1.5538,Rejected Submissions
3.5,2.2232,Rejected Submissions
2,1.6217,Rejected Submissions
2.25,1.6853,Rejected Submissions
2.5,1.7425,Rejected Submissions
2.25,1.4299,Rejected Submissions
2,1.7504,Rejected Submissions
2,1.9116,Rejected Submissions
2.75,1.4487,Rejected Submissions
2.6,2.3182,Rejected Submissions
2.25,1.0219,Rejected Submissions
2.75,1.7031,Rejected Submissions
2.8,2.1883,Rejected Submissions
2.75,1.8347,Rejected Submissions
2.75,1.8882,Rejected Submissions
3.25,1.6982,Rejected Submissions
2.75,1.658,Rejected Submissions
2.5,2.4723,Rejected Submissions
2.75,1.5833,Rejected Submissions
2.3333,1.605,Rejected Submissions
2.2,1.6135,Rejected Submissions
2.75,1.9294,Rejected Submissions
3,1.4589,Rejected Submissions
2.5,1.7348,Rejected Submissions
2.75,1.9509,Rejected Submissions
3,2.0168,Rejected Submissions
2.75,1.7868,Rejected Submissions
2,2.1243,Rejected Submissions
3,1.68,Rejected Submissions
2.75,1.7491,Rejected Submissions
2.5,2.1215,Rejected Submissions
1.5,1.7929,Rejected Submissions
2.25,1.9414,Rejected Submissions
2.25,1.5591,Rejected Submissions
2.25,1.6261,Rejected Submissions
2.75,1.8227,Rejected Submissions
2.75,1.8111,Rejected Submissions
2.5,1.67,Rejected Submissions
2.5,1.5648,Rejected Submissions
3,1.2549,Rejected Submissions
2.6,2.0848,Rejected Submissions
2.25,1.2013,Rejected Submissions
2.75,1.9568,Rejected Submissions
2.5,1.5839,Rejected Submissions
2.6667,2.2403,Rejected Submissions
2.75,1.0881,Rejected Submissions
2,1.7933,Rejected Submissions
2,2.2022,Rejected Submissions
2.25,2.1073,Rejected Submissions
2.5,2.2164,Rejected Submissions
2.5,1.5661,Rejected Submissions
2.75,1.7297,Rejected Submissions
2.25,1.2986,Rejected Submissions
2,1.4993,Rejected Submissions
2.5,1.8685,Rejected Submissions
2.75,2.0074,Rejected Submissions
2,2.0775,Rejected Submissions
2.8,1.855,Rejected Submissions
2.25,1.6419,Rejected Submissions
3,1.7158,Rejected Submissions
2,1.3859,Rejected Submissions
2.25,1.5423,Rejected Submissions
3,1.5099,Rejected Submissions
3,1.8619,Rejected Submissions
3.2,1.6271,Rejected Submissions
3,1.6015,Rejected Submissions
1.75,1.328,Rejected Submissions
2.5,2.14,Rejected Submissions
1,2.1713,Rejected Submissions
2.5,1.6404,Rejected Submissions
2,1.4804,Rejected Submissions
2.25,1.5702,Rejected Submissions
2.6667,1.7651,Rejected Submissions
2.3333,1.8913,Rejected Submissions
2.5,2.1146,Rejected Submissions
2.6667,2.1069,Rejected Submissions
2.3333,1.8665,Rejected Submissions
2,1.3168,Rejected Submissions
2.5,1.8962,Rejected Submissions
2.5,1.8406,Rejected Submissions
2.5,1.515,Rejected Submissions
2.5,1.7031,Rejected Submissions
2.75,1.9522,Rejected Submissions
2.25,1.6763,Rejected Submissions
2.6667,1.9154,Rejected Submissions
2.25,1.6883,Rejected Submissions
3,1.7103,Rejected Submissions
2,1.91,Rejected Submissions
2.3333,1.8475,Rejected Submissions
2.25,1.9679,Rejected Submissions
2.5,1.9704,Rejected Submissions
2.75,1.5229,Rejected Submissions
2,1.4947,Rejected Submissions
2,1.7544,Rejected Submissions
2.25,1.709,Rejected Submissions
2.5,1.9884,Rejected Submissions
2,2.0507,Rejected Submissions
2.75,1.7306,Rejected Submissions
2,1.5716,Rejected Submissions
1.25,1.6686,Rejected Submissions
2,1.8157,Rejected Submissions
2,1.6031,Rejected Submissions
2.6667,1.863,Rejected Submissions
2.5,1.7134,Rejected Submissions
1.8,2.099,Rejected Submissions
2.5,1.6515,Rejected Submissions
1.75,1.1178,Rejected Submissions
2.5,1.7624,Rejected Submissions
2.25,2.1299,Rejected Submissions
2.5,2.2411,Rejected Submissions
2.3333,1.9132,Rejected Submissions
3.25,1.3962,Rejected Submissions
2,1.8491,Rejected Submissions
2.75,1.8143,Rejected Submissions
2.5,1.6484,Rejected Submissions
2,1.531,Rejected Submissions
2.3333,2.2204,Rejected Submissions
1.8,1.4,Rejected Submissions
3.5,nan,Rejected Submissions
2.25,1.6321,Rejected Submissions
2,1.0946,Rejected Submissions
2.4,1.8089,Rejected Submissions
2.5,1.0913,Rejected Submissions
2,1.6205,Rejected Submissions
1.5,1.6513,Rejected Submissions
2,1.6704,Rejected Submissions
2.25,1.5054,Rejected Submissions
2,1.2003,Rejected Submissions
2.5,2.276,Rejected Submissions
2.25,2.2558,Rejected Submissions
2.4,1.9182,Rejected Submissions
2.3333,1.6844,Rejected Submissions
2,1.4633,Rejected Submissions
2.6667,1.7192,Rejected Submissions
2.5,1.6009,Rejected Submissions
2.25,1.9046,Rejected Submissions
2.5,2.1506,Rejected Submissions
2.5,2.142,Rejected Submissions
1.6667,1.8635,Rejected Submissions
2.3333,1.8376,Rejected Submissions
2.5,2.2544,Rejected Submissions
2.25,1.7864,Rejected Submissions
2,1.794,Rejected Submissions
2.25,1.5276,Rejected Submissions
2.75,1.496,Rejected Submissions
2.75,1.3803,Rejected Submissions
2.4,1.9374,Rejected Submissions
1,2.0348,Rejected Submissions
2.5,2.207,Rejected Submissions
2.25,1.9441,Rejected Submissions
2.25,2.2286,Rejected Submissions
2.25,nan,Rejected Submissions
2.75,2.1942,Rejected Submissions
2.3333,1.1985,Rejected Submissions
2,1.5368,Rejected Submissions
2.8,2.2345,Rejected Submissions
2,1.0965,Rejected Submissions
3,1.8024,Rejected Submissions
2,1.1868,Rejected Submissions
2.25,1.8491,Rejected Submissions
2,1.8296,Rejected Submissions
2.25,1.8045,Rejected Submissions
2.2,1.5811,Rejected Submissions
2.6667,1.6168,Rejected Submissions
2.5,1.8781,Rejected Submissions
2.5,1.5753,Rejected Submissions
2.25,1.6381,Rejected Submissions
2.3333,1.6462,Rejected Submissions
3,1.5312,Rejected Submissions
2,1.4913,Rejected Submissions
2.3333,1.7256,Rejected Submissions
2,1.8817,Rejected Submissions
2.5,2.0941,Rejected Submissions
3,1.9237,Rejected Submissions
2.5,1.5873,Rejected Submissions
2.75,1.6213,Rejected Submissions
2.25,1.9457,Rejected Submissions
2,1.4099,Rejected Submissions
2.2,1.7218,Rejected Submissions
2,1.6948,Rejected Submissions
2.25,1.5955,Rejected Submissions
2.25,2.243,Rejected Submissions
2.25,1.9784,Rejected Submissions
2.5,1.9356,Rejected Submissions
1.75,1.7718,Rejected Submissions
2.75,1.4544,Rejected Submissions
2.5,1.6984,Rejected Submissions
2.25,1.6262,Rejected Submissions
2.6667,2.1769,Rejected Submissions
2.3333,1.6172,Rejected Submissions
1.5,0.797,Rejected Submissions
1.25,1.6137,Rejected Submissions
2.2,1.7184,Rejected Submissions
3.25,1.57,Rejected Submissions
2.5,2.0961,Rejected Submissions
1.8,1.8729,Rejected Submissions
2.8,1.3261,Rejected Submissions
2.75,2.2778,Rejected Submissions
2,1.2129,Rejected Submissions
2.25,1.9941,Rejected Submissions
2.6667,2.2479,Rejected Submissions
2.2,1.8102,Rejected Submissions
2.4,1.9264,Rejected Submissions
2.5,1.5266,Rejected Submissions
3,1.8419,Rejected Submissions
2.25,1.8127,Rejected Submissions
2.75,1.8048,Rejected Submissions
2,2.4099,Rejected Submissions
2.25,1.9568,Rejected Submissions
2.25,1.6984,Rejected Submissions
2.25,1.638,Rejected Submissions
2.6667,1.7622,Rejected Submissions
2.75,2.0676,Rejected Submissions
2.3333,2.0769,Rejected Submissions
2,1.5078,Rejected Submissions
2.75,1.8564,Rejected Submissions
2.5,1.6996,Rejected Submissions
2.5,1.8307,Rejected Submissions
2.5,1.7039,Rejected Submissions
1.75,1.8205,Rejected Submissions
3.25,1.8524,Rejected Submissions
2.5,1.3668,Rejected Submissions
2.25,1.9406,Rejected Submissions
2.5,2.2576,Rejected Submissions
2,1.6943,Rejected Submissions
2.6,1.6181,Rejected Submissions
2,1.4856,Rejected Submissions
2.25,1.553,Rejected Submissions
2.75,1.905,Rejected Submissions
1.5,1.8956,Rejected Submissions
1.6667,1.3812,Rejected Submissions
2.5,1.6211,Rejected Submissions
3,2.0192,Rejected Submissions
2.5,1.9696,Rejected Submissions
3.2,1.4295,Rejected Submissions
2.25,1.6693,Rejected Submissions
2.25,1.6439,Rejected Submissions
2.6,1.7576,Rejected Submissions
1.75,1.8449,Rejected Submissions
3,1.4321,Rejected Submissions
2.25,1.7474,Rejected Submissions
2,1.7077,Rejected Submissions
2.3333,1.5294,Rejected Submissions
2.75,1.8186,Rejected Submissions
2.5,1.6675,Rejected Submissions
1.75,1.6961,Rejected Submissions
1.75,1.3789,Rejected Submissions
3,0.4792,Rejected Submissions
3,1.5618,Rejected Submissions
2,1.4972,Rejected Submissions
2.25,2.3618,Rejected Submissions
1.75,1.789,Rejected Submissions
2.75,2.1242,Rejected Submissions
2.6,1.1611,Rejected Submissions
2.5,1.6681,Rejected Submissions
1.75,1.7279,Rejected Submissions
2.25,1.4458,Rejected Submissions
2.75,1.7351,Rejected Submissions
3,1.6876,Rejected Submissions
2.25,1.6595,Rejected Submissions
2.4,1.8388,Rejected Submissions
1.75,1.335,Rejected Submissions
2.3333,1.805,Rejected Submissions
2.5,1.8223,Rejected Submissions
1.6,1.6681,Rejected Submissions
2.75,1.545,Rejected Submissions
2.25,1.4428,Rejected Submissions
2.5,1.5725,Rejected Submissions
3.25,2.0596,Rejected Submissions
2.25,1.9745,Rejected Submissions
2.25,1.8058,Rejected Submissions
2.25,1.8124,Rejected Submissions
3,2.1668,Rejected Submissions
2.5,1.7173,Rejected Submissions
2.5,2.0647,Rejected Submissions
2.3333,1.8563,Rejected Submissions
2.6667,2.115,Rejected Submissions
2.5,1.6986,Rejected Submissions
2.25,1.7642,Rejected Submissions
2,1.4437,Rejected Submissions
2.6667,1.9341,Rejected Submissions
2.5,1.4604,Rejected Submissions
2.25,1.8114,Rejected Submissions
2.25,1.8524,Rejected Submissions
2.5,1.8127,Rejected Submissions
2.3333,nan,Rejected Submissions
2,1.2222,Rejected Submissions
2.75,1.3688,Rejected Submissions
2.3333,1.5673,Rejected Submissions
2.75,1.6474,Rejected Submissions
2.75,1.9111,Rejected Submissions
2.5,1.602,Rejected Submissions
2.4,3.2674,Rejected Submissions
1.75,1.5437,Rejected Submissions
2,1.8915,Rejected Submissions
2.4,1.5554,Rejected Submissions
2.25,1.9895,Rejected Submissions
2,1.5847,Rejected Submissions
2,0.9652,Rejected Submissions
3.75,1.2987,Rejected Submissions
3,1.9961,Rejected Submissions
2.25,1.5414,Rejected Submissions
2.3333,1.9079,Rejected Submissions
2.75,1.5648,Rejected Submissions
2.75,1.2455,Rejected Submissions
2.5,nan,Rejected Submissions
2,1.8235,Rejected Submissions
2,1.761,Rejected Submissions
2.5,1.682,Rejected Submissions
2.5,1.5576,Rejected Submissions
3.3333,1.8836,Rejected Submissions
2,1.5635,Rejected Submissions
2.75,1.7825,Rejected Submissions
3,1.5198,Rejected Submissions
2.6667,1.5901,Rejected Submissions
2.75,1.69,Rejected Submissions
2.25,1.2887,Rejected Submissions
3,1.9133,Rejected Submissions
3,1.639,Rejected Submissions
2.75,1.8651,Rejected Submissions
2,1.5048,Rejected Submissions
3,2.0299,Rejected Submissions
1.8,1.8459,Rejected Submissions
2,1.8016,Rejected Submissions
2.25,1.5784,Rejected Submissions
2.25,1.9669,Rejected Submissions
2.25,1.8485,Rejected Submissions
2.6667,1.9699,Rejected Submissions
2.6667,1.8137,Rejected Submissions
2.4,1.4362,Rejected Submissions
2.75,1.7943,Rejected Submissions
2.25,1.5847,Rejected Submissions
3.25,1.7865,Rejected Submissions
2.25,1.4582,Rejected Submissions
2,2.0357,Rejected Submissions
3,1.5233,Rejected Submissions
2.5,2.0006,Rejected Submissions
2.25,1.6206,Rejected Submissions
1.75,1.6243,Rejected Submissions
2.8,0.9212,Rejected Submissions
2.3333,1.5597,Rejected Submissions
2.25,2.3587,Rejected Submissions
2.25,1.8691,Rejected Submissions
1.4,1.8821,Rejected Submissions
2,1.6353,Rejected Submissions
2.25,1.9538,Rejected Submissions
2,1.4149,Rejected Submissions
2.25,2.1234,Rejected Submissions
2,1.6993,Rejected Submissions
2.6667,1.6504,Rejected Submissions
1.8,1.5969,Rejected Submissions
2,1.792,Rejected Submissions
2.75,1.8954,Rejected Submissions
1,1.3938,Rejected Submissions
2.75,1.4779,Rejected Submissions
2.75,1.1514,Rejected Submissions
2.25,1.6692,Rejected Submissions
2,1.7988,Rejected Submissions
2.5,1.7646,Rejected Submissions
2.2,1.9749,Rejected Submissions
2.25,2.0141,Rejected Submissions
2.25,1.4982,Rejected Submissions
2.25,1.7174,Rejected Submissions
2.8,1.8267,Rejected Submissions
2.25,1.4819,Rejected Submissions
2.75,1.5519,Rejected Submissions
2.25,1.2622,Rejected Submissions
2.2,1.6255,Rejected Submissions
2.4,1.714,Rejected Submissions
2.3333,1.8407,Rejected Submissions
3.25,1.9184,Rejected Submissions
2.3333,1.5184,Rejected Submissions
2,2.1157,Rejected Submissions
2.5,1.5094,Rejected Submissions
2,1.4849,Rejected Submissions
2.25,1.6125,Rejected Submissions
2.75,1.7697,Rejected Submissions
2.5,1.8926,Rejected Submissions
2.3333,1.5351,Rejected Submissions
2.4,nan,Rejected Submissions
1.3333,1.5406,Rejected Submissions
3,1.5628,Rejected Submissions
2.5,1.6445,Rejected Submissions
2.25,1.8487,Rejected Submissions
2.6667,1.9381,Rejected Submissions
1.75,1.5796,Rejected Submissions
2.4,1.7935,Rejected Submissions
2.4,1.9071,Rejected Submissions
2.25,2.0909,Rejected Submissions
2.5,2.3906,Rejected Submissions
2.75,1.6767,Rejected Submissions
2.6667,1.7388,Rejected Submissions
2,1.5003,Rejected Submissions
3,2.0369,Rejected Submissions
2.75,1.9916,Rejected Submissions
2.25,nan,Rejected Submissions
2.25,1.3256,Rejected Submissions
2.25,1.8599,Rejected Submissions
2,1.4663,Rejected Submissions
2.25,1.4743,Rejected Submissions
2,2.0313,Rejected Submissions
2.25,1.6673,Rejected Submissions
2.5,1.6625,Rejected Submissions
2.6667,1.6054,Rejected Submissions
2.6667,1.9429,Rejected Submissions
3.25,2.367,Rejected Submissions
2.25,1.5143,Rejected Submissions
2.6,1.8063,Rejected Submissions
2,1.9709,Rejected Submissions
2.5,1.6473,Rejected Submissions
2,1.7061,Rejected Submissions
2.75,1.5831,Rejected Submissions
1.75,1.3198,Rejected Submissions
2,1.6892,Rejected Submissions
3.25,1.5503,Rejected Submissions
2,1.69,Rejected Submissions
2.75,1.4732,Rejected Submissions
2,1.859,Rejected Submissions
2.5,2.1529,Rejected Submissions
2.5,nan,Rejected Submissions
2.75,1.6286,Rejected Submissions
2.5,1.6557,Rejected Submissions
2.75,1.5823,Rejected Submissions
2.25,1.8316,Rejected Submissions
2.2,1.6516,Rejected Submissions
1.5,1.2798,Rejected Submissions
2.6667,1.5544,Rejected Submissions
3.25,1.859,Rejected Submissions
2.2,2.299,Rejected Submissions
2,1.8062,Rejected Submissions
2,2.3403,Rejected Submissions
2.3333,1.8172,Rejected Submissions
2,1.4931,Rejected Submissions
2.6667,1.1742,Rejected Submissions
2.5,1.8378,Rejected Submissions
2.25,1.4879,Rejected Submissions
2.5,1.4555,Rejected Submissions
3,1.6386,Rejected Submissions
2.6667,2.1364,Rejected Submissions
2.75,1.8193,Rejected Submissions
2.2,1.6377,Rejected Submissions
2.5,1.7781,Rejected Submissions
2.25,2.0078,Rejected Submissions
2.2,1.7982,Rejected Submissions
3,1.7071,Rejected Submissions
2.8,1.5711,Rejected Submissions
1.5,0.7587,Rejected Submissions
2,1.7411,Rejected Submissions
2.75,2.0979,Rejected Submissions
2,1.522,Rejected Submissions
2,1.9529,Rejected Submissions
2.2,1.7024,Rejected Submissions
3,1.5141,Rejected Submissions
2,2.0028,Rejected Submissions
2.5,1.2539,Rejected Submissions
2.75,1.5247,Rejected Submissions
2.25,1.6617,Rejected Submissions
2.5,1.8482,Rejected Submissions
3,2.2045,Rejected Submissions
2.5,1.618,Rejected Submissions
2.3333,1.2272,Rejected Submissions
2.6,1.6979,Rejected Submissions
2.25,1.6062,Rejected Submissions
1.75,1.8082,Rejected Submissions
2.75,2.1895,Rejected Submissions
2.6667,nan,Rejected Submissions
2.75,1.9454,Rejected Submissions
2.4,1.5455,Rejected Submissions
2.75,1.9627,Rejected Submissions
2.5,1.7778,Rejected Submissions
2.3333,1.6026,Rejected Submissions
2.5,1.6622,Rejected Submissions
2.2,1.6503,Rejected Submissions
2.6667,1.5965,Rejected Submissions
2.25,1.7852,Rejected Submissions
2.2,1.8989,Rejected Submissions
1.75,1.6993,Rejected Submissions
2.75,1.4352,Rejected Submissions
2,nan,Rejected Submissions
2.5,1.4095,Rejected Submissions
2.3333,1.576,Rejected Submissions
2,1.4754,Rejected Submissions
2.25,1.8169,Rejected Submissions
2.75,1.4014,Rejected Submissions
2.4,1.9631,Rejected Submissions
3,1.7884,Rejected Submissions
2.3333,1.3104,Rejected Submissions
2.75,2.0141,Rejected Submissions
2.25,1.2833,Rejected Submissions
2.6,1.8898,Rejected Submissions
2,2.1287,Rejected Submissions
2.75,1.3249,Rejected Submissions
2,1.3415,Rejected Submissions
2.75,1.7479,Rejected Submissions
2.3333,2.0754,Rejected Submissions
2,1.4873,Rejected Submissions
2.6,1.6614,Rejected Submissions
2.6,1.8336,Rejected Submissions
3.2,1.7176,Rejected Submissions
3,2.1081,Rejected Submissions
3,1.6026,Rejected Submissions
2.25,1.8195,Rejected Submissions
2.25,1.6047,Rejected Submissions
2.75,1.291,Rejected Submissions
2.25,1.6789,Rejected Submissions
2.3333,1.6056,Rejected Submissions
2.75,1.8467,Rejected Submissions
2,1.5432,Rejected Submissions
3.3333,1.4921,Rejected Submissions
2.25,1.8028,Rejected Submissions
3.25,1.5545,Rejected Submissions
2.5,1.8488,Rejected Submissions
2,2.3596,Rejected Submissions
1.75,2.5406,Rejected Submissions
3,1.7435,Rejected Submissions
2.75,2.0259,Rejected Submissions
3,1.7965,Rejected Submissions
2.5,1.5788,Rejected Submissions
1.5,1.6501,Rejected Submissions
2.25,3.3136,Rejected Submissions
3,1.996,Rejected Submissions
2.75,1.837,Rejected Submissions
2,2.0108,Rejected Submissions
2.3333,2.0793,Rejected Submissions
2.4,nan,Rejected Submissions
3,1.5408,Rejected Submissions
2.25,2.2192,Rejected Submissions
2.4,2.2659,Rejected Submissions
2,2.1959,Rejected Submissions
1.75,1.4463,Rejected Submissions
2.25,2.035,Rejected Submissions
2.25,1.8633,Rejected Submissions
1.3333,1.8152,Rejected Submissions
2,1.9967,Rejected Submissions
2.5,1.5989,Rejected Submissions
1.4,2.4775,Rejected Submissions
2.4,1.7101,Rejected Submissions
2.25,1.9151,Rejected Submissions
2.5,1.5643,Rejected Submissions
2.75,2.0469,Rejected Submissions
3,2.0809,Rejected Submissions
2.5,1.9828,Rejected Submissions
1.75,1.7681,Rejected Submissions
2,1.5937,Rejected Submissions
3,1.5112,Rejected Submissions
2.5,2.0728,Rejected Submissions
2.25,1.639,Rejected Submissions
2.6667,1.8612,Rejected Submissions
2,1.956,Rejected Submissions
3.3333,1.6593,Rejected Submissions
1.75,1.9785,Rejected Submissions
2.75,1.4185,Rejected Submissions
1.75,1.6504,Rejected Submissions
3,1.3831,Rejected Submissions
2.5,1.4529,Rejected Submissions
1.6667,1.2988,Rejected Submissions
2,1.9829,Rejected Submissions
2.6667,1.8721,Rejected Submissions
2.75,2.1986,Rejected Submissions
2,nan,Rejected Submissions
2.5,1.718,Rejected Submissions
2.75,1.4973,Rejected Submissions
2.6,2.1042,Rejected Submissions
2.5,1.513,Rejected Submissions
2.3333,1.5696,Rejected Submissions
2.6,1.8649,Rejected Submissions
2.4,2.1352,Rejected Submissions
2.6667,1.4254,Rejected Submissions
2.25,1.471,Rejected Submissions
3.25,1.6359,Rejected Submissions
3.5,1.7501,Rejected Submissions
2.5,1.4687,Rejected Submissions
1.5,1.9236,Rejected Submissions
3,1.4664,Rejected Submissions
1.5,1.3585,Rejected Submissions
2.25,1.6637,Rejected Submissions
2.3333,1.8034,Rejected Submissions
3,1.5326,Rejected Submissions
2,1.3512,Rejected Submissions
2.5,1.7211,Rejected Submissions
3,1.625,Rejected Submissions
3,1.5759,Rejected Submissions
2.5,1.6223,Rejected Submissions
3,1.3955,Rejected Submissions
2.3333,2.3434,Rejected Submissions
1.75,1.8798,Rejected Submissions
2.75,2.0553,Rejected Submissions
3,1.2404,Rejected Submissions
1.6,2.5774,Rejected Submissions
1.75,2.0551,Rejected Submissions
1.6667,1.691,Rejected Submissions
1,1.7071,Rejected Submissions
2.5,1.6299,Rejected Submissions
1.25,1.6129,Rejected Submissions
2.5,2.0507,Rejected Submissions
3.5,2.0249,Rejected Submissions
2,1.6673,Rejected Submissions
2,2.1579,Rejected Submissions
2,1.9292,Rejected Submissions
2.25,0.9431,Rejected Submissions
2,2.0136,Rejected Submissions
2,2.0683,Rejected Submissions
2.5,1.8929,Rejected Submissions
2.25,2.0224,Rejected Submissions
2.3333,1.8767,Rejected Submissions
2.5,1.7949,Rejected Submissions
2.25,1.8735,Rejected Submissions
2.25,1.6813,Rejected Submissions
1.75,2.1607,Rejected Submissions
2.5,2.0809,Rejected Submissions
2,1.6552,Rejected Submissions
2,2.0956,Rejected Submissions
2,2.0185,Rejected Submissions
2.5,1.8541,Rejected Submissions
2,1.5013,Rejected Submissions
2.5,1.6419,Rejected Submissions
2.25,1.6257,Rejected Submissions
2,1.5212,Rejected Submissions
2.25,1.5717,Rejected Submissions
2.6,1.8074,Rejected Submissions
2.5,1.9561,Rejected Submissions
1.5,2.085,Rejected Submissions
2,1.5137,Rejected Submissions
2.5,1.5889,Rejected Submissions
1.3333,1.5769,Rejected Submissions
2.6,4.9458,Rejected Submissions
1.3333,1.1882,Rejected Submissions
2.5,1.9243,Rejected Submissions
2.75,2.0182,Rejected Submissions
2.5,1.4252,Rejected Submissions
2.5,1.6082,Rejected Submissions
2.25,1.4303,Rejected Submissions
2.25,1.9037,Rejected Submissions
2.75,1.8188,Rejected Submissions
2.5,1.7556,Rejected Submissions
2.3333,1.4684,Rejected Submissions
2.25,1.6951,Rejected Submissions
3,1.5231,Rejected Submissions
2.25,nan,Rejected Submissions
2,1.635,Rejected Submissions
2.3333,1.8519,Rejected Submissions
3,1.8755,Rejected Submissions
1.4,2.0458,Rejected Submissions
2.5,1.5961,Rejected Submissions
3,1.4429,Rejected Submissions
2.3333,2.2848,Rejected Submissions
2.5,1.0369,Rejected Submissions
2.2,1.6887,Rejected Submissions
2.5,1.6964,Rejected Submissions
2,1.4244,Rejected Submissions
1.5,0.8738,Rejected Submissions
2.3333,1.7843,Rejected Submissions
3,1.76,Rejected Submissions
3,1.4322,Rejected Submissions
2.4,1.5232,Rejected Submissions
2,1.7228,Rejected Submissions
2.2,1.5114,Rejected Submissions
3,1.9389,Rejected Submissions
2.3333,1.3184,Rejected Submissions
2.75,1.0383,Rejected Submissions
2.25,2.1112,Rejected Submissions
2.5,1.4242,Rejected Submissions
1.5,2.0179,Rejected Submissions
3,1.9212,Rejected Submissions
2.75,1.7992,Rejected Submissions
1.6667,1.9855,Rejected Submissions
2.6667,1.9901,Rejected Submissions
3,1.7746,Rejected Submissions
2.3333,2.3337,Rejected Submissions
2,1.573,Rejected Submissions
1.75,1.8784,Rejected Submissions
2,1.4331,Rejected Submissions
2.3333,1.7974,Rejected Submissions
2.5,1.0572,Rejected Submissions
2.25,1.9572,Rejected Submissions
2.5,1.8419,Rejected Submissions
3,1.5491,Rejected Submissions
2.25,1.8862,Rejected Submissions
2.5,1.4495,Rejected Submissions
2.75,1.7399,Rejected Submissions
2.25,1.9344,Rejected Submissions
3,2.967,Rejected Submissions
2.5,1.9468,Rejected Submissions
2.25,1.9839,Rejected Submissions
1.75,1.7501,Rejected Submissions
2.6,1.8517,Rejected Submissions
2.75,1.5913,Rejected Submissions
2.4,1.669,Rejected Submissions
2.75,1.6939,Rejected Submissions
3,1.5974,Rejected Submissions
2.25,1.4817,Rejected Submissions
1.8,1.8714,Rejected Submissions
2,1.5753,Rejected Submissions
2.75,1.832,Rejected Submissions
2.2,1.6495,Rejected Submissions
2.8,1.8994,Rejected Submissions
2.6667,1.3312,Rejected Submissions
2,1.2111,Rejected Submissions
2.25,2.0036,Rejected Submissions
3,1.6005,Rejected Submissions
2,1.4579,Rejected Submissions
1.5,1.702,Rejected Submissions
1.75,1.5311,Rejected Submissions
2.3333,1.679,Rejected Submissions
2.25,1.8768,Rejected Submissions
2.25,1.9668,Rejected Submissions
2.25,1.6652,Rejected Submissions
2.5,1.052,Rejected Submissions
2.25,nan,Rejected Submissions
1.75,1.797,Rejected Submissions
3.25,1.6319,Rejected Submissions
2.5,1.9667,Rejected Submissions
3,1.8085,Rejected Submissions
2,1.6102,Rejected Submissions
2,2.0741,Rejected Submissions
2.75,2.1047,Rejected Submissions
2.75,1.5635,Rejected Submissions
2.25,2.2122,Rejected Submissions
1.75,1.2922,Rejected Submissions
2.75,2.1682,Rejected Submissions
2.5,nan,Rejected Submissions
2.75,1.6984,Rejected Submissions
1.5,1.8424,Rejected Submissions
2.75,1.6072,Rejected Submissions
2.75,2.203,Rejected Submissions
2.5,1.587,Rejected Submissions
2,1.8613,Rejected Submissions
2.5,2.2122,Rejected Submissions
2.3333,1.5906,Rejected Submissions
2.6667,1.9788,Rejected Submissions
2,1.6533,Rejected Submissions
1.5,1.8409,Rejected Submissions
2.6,2.4448,Rejected Submissions
2.25,2.3705,Rejected Submissions
2.25,1.856,Rejected Submissions
2.6,1.8002,Rejected Submissions
2,1.5872,Rejected Submissions
3,1.8684,Rejected Submissions
2.25,1.8365,Rejected Submissions
2.75,2.3739,Rejected Submissions
2.25,1.7943,Rejected Submissions
2.5,2.0232,Rejected Submissions
2.75,1.7922,Rejected Submissions
2.25,1.5582,Rejected Submissions
2.25,nan,Rejected Submissions
2.75,1.9509,Rejected Submissions
