title,similarity_mean,similarity_std
#NAME?,tensor(10.5668),tensor(1.6515)
#NAME?,tensor(11.7803),tensor(0.6524)
01AMRlen9wJ,tensor(10.1949),tensor(1.7485)
04pGUg0-pdZ,tensor(10.2769),tensor(1.3675)
0RDcd5Axok,tensor(9.8240),tensor(1.3589)
1HxTO6CTkz,tensor(9.8995),tensor(1.5719)
1JDiK_TbV4S,tensor(10.3304),tensor(1.7866)
1xXvPrAshao,tensor(10.3446),tensor(1.7561)
26gKg6x-ie,tensor(9.3916),tensor(1.4999)
2eXhNpHeW6E,tensor(9.8513),tensor(1.6552)
2_vhkAMARk,tensor(10.3589),tensor(1.5747)
4-D6CZkRXxI,tensor(10.1476),tensor(1.7837)
41e9o6cQPj,tensor(9.5176),tensor(1.7250)
45L_dgP48Vd,tensor(10.0101),tensor(1.8384)
45Mr7LeKR9,tensor(10.4292),tensor(1.9020)
49A1Y6tRhaq,tensor(10.1459),tensor(1.5917)
4AZz9osqrar,tensor(9.9693),tensor(1.6778)
57PipS27Km,tensor(10.1085),tensor(1.7630)
5FUq05QRc5b,tensor(9.8628),tensor(1.6613)
5LXw_QplBiF,tensor(10.7394),tensor(2.2305)
6Tk2noBdvxt,tensor(9.8405),tensor(1.6260)
7b4zxUnrO2N,tensor(9.6480),tensor(1.8053)
7F9cOhdvfk_,tensor(9.8557),tensor(1.5982)
7gWSJrP3opB,tensor(10.4033),tensor(1.6807)
7l1IjZVddDW,tensor(10.2664),tensor(1.5793)
7twQI5VnC8,tensor(10.0129),tensor(1.7867)
7YDLgf9_zgm,tensor(10.5748),tensor(1.9558)
8H5bpVwvt5,tensor(10.1432),tensor(1.6178)
8Py-W8lSUgy,tensor(10.7556),tensor(1.6424)
8WawVDdKqlL,tensor(10.7443),tensor(2.1751)
9Vrb9D0WI4,tensor(9.8341),tensor(2.1460)
9XhPLAjjRB,tensor(10.4728),tensor(2.6909)
A3HHaEdqAJL,tensor(10.0978),tensor(1.4912)
AJAR-JgNw__,tensor(11.2527),tensor(2.5259)
AJsI-ymaKn_,tensor(10.5648),tensor(1.7402)
apv504XsysP,tensor(10.5144),tensor(1.6946)
AUGBfDIV9rL,tensor(10.0342),tensor(1.7584)
AvcfxqRy4Y,tensor(10.2346),tensor(1.7284)
BB4e8Atc1eR,tensor(10.3810),tensor(1.6686)
bERaNdoegnO,tensor(10.9146),tensor(2.0605)
BjyvwnXXVn_,tensor(10.3283),tensor(1.7604)
BnQhMqDfcKG,tensor(9.9488),tensor(1.4347)
