title,year,conference
 Continuous control with deep reinforcement learning,2015, CoRR
 Asynchronous Methods for Deep Reinforcement Learning,2016, ArXiv preprintarXiv:1602
 Human-level control through deep reinforcementlearning,2015, Nature
 Massively parallel methods fordeep reinforcement learning,2015, CoRR
 Mastering thegame of go with deep neural networks and tree search,2016, Nature
 Introduction to Reinforcement Learning,0262, MIT Press
 Deep reinforcement learning with double q-learning,2015, CoRR
 Dueling network architectures for deep rein-forcement learning,2015, CoRR
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
