title,year,conference
 Random matrices and complexity of spinglasses,2013, Communications on Pure and Applied Mathematics
 Neural networks and principal component analysis: Learning from exam-ples without local minima,0893, Neural Netw
 Theloss surfaces of multilayer networks,2015, In AISTATS
 Identifying and attacking the saddle point problem in high-dimensional non-convex op-timization,2014, In Advances in neural information processing systems
 Deep residual learning for image recog-nition,2015, In arXiv prepring arXiv:1506
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In Proceedings of the 32nd International Conference on MachineLearning
 Imagenet classification with deep convo-lutional neural networks,2012, In Advances in neural information processing systems
